config,clients,nodes,shards,throughput_mean,latency_p50,latency_p90,latency_p99,error_rate,efficiency,throughput_rank,latency_rank,efficiency_rank,cost_score,benefit_score,cost_benefit_ratio
100_16-16,100,16,16,517904.2036730256,1880.0477328713896,3210.2341980022175,4341.695187358563,0.0,32369.0127295641,5.0,21.0,5.0,2600,517.9042036730256,0.19919392448962522
100_20-20,100,20,20,509396.3910496406,1936.5234010019776,3342.4915130126465,4385.718138083394,0.0,25469.81955248203,8.0,23.0,8.0,3000,509.3963910496406,0.16979879701654688
100_24-24,100,24,24,501897.2213707906,2008.5694734261779,3287.9417813743207,4396.141367103773,0.0,20912.38422378294,11.0,24.0,12.0,3400,501.89722137079065,0.14761682981493843
100_28-28,100,28,28,492417.53091789194,2045.5061442480655,3276.1060808177717,4353.745566340694,0.0,17586.340389924713,16.0,22.0,18.0,3800,492.41753091789195,0.1295835607678663
100_32-32,100,32,32,481800.1000717077,2038.1991519971052,3340.0774362577067,4484.200720934239,0.03492316902813809,15056.253127240865,21.0,25.0,23.0,4200,481.8001000717077,0.11471430954088278
60_16-16,60,16,16,529633.8709319932,885.4265649370063,2087.563309113102,2855.9915863189954,0.0,33102.11693324958,2.0,5.0,2.0,2200,529.6338709319932,0.24074266860545146
60_20-20,60,20,20,497070.4435605825,1112.2838715655234,2084.2866311013495,2782.98047061253,0.0,24853.522178029125,13.0,3.0,10.0,2600,497.07044356058253,0.19118093983099327
60_24-24,60,24,24,486272.45808990725,1133.0313982580265,2054.4084139870392,2742.1277950808144,0.0,20261.3524204128,17.0,2.0,14.0,3000,486.2724580899072,0.1620908193633024
60_28-28,60,28,28,475533.16063062765,1211.3626727477822,2100.627763209195,2797.8691552783494,0.0,16983.32716537956,23.0,4.0,20.0,3400,475.53316063062766,0.13986269430312578
60_32-32,60,32,32,467153.0946886646,1282.1801005611633,2043.4147013722395,2679.4900586961003,0.0,14598.534209020769,24.0,1.0,24.0,3800,467.1530946886646,0.12293502491806964
70_16-16,70,16,16,520437.6039596612,1059.222551435596,2408.532311574527,3216.971345813253,0.0,32527.350247478826,3.0,9.0,3.0,2300,520.4376039596613,0.2262772191128962
70_20-20,70,20,20,507468.1503510934,1241.071245061903,2288.125616457546,3067.719860419857,0.0,25373.407517554668,9.0,6.0,9.0,2700,507.46815035109336,0.18795116679670124
70_24-24,70,24,24,483423.2818562077,1362.0625133735302,2470.3012880519964,3273.8550304895393,0.0,20142.636744008654,19.0,10.0,15.0,3100,483.4232818562077,0.15594299414716378
70_28-28,70,28,28,475945.3765106177,1440.763486934884,2413.361452299796,3164.7824346157363,0.0,16998.049161093488,22.0,8.0,19.0,3500,475.9453765106177,0.1359843932887479
70_32-32,70,32,32,463443.98934625165,1528.6967365591408,2413.677371949234,3114.1204792633657,0.0,14482.624667070364,25.0,7.0,25.0,3900,463.44398934625167,0.11883179214006453
80_16-16,80,16,16,559349.9897036224,1140.598220488755,2399.8298652251838,3373.1558288057568,0.0,34959.3743564764,1.0,11.0,1.0,2400,559.3499897036224,0.2330624957098427
80_20-20,80,20,20,514769.23303805117,1475.6781909927668,2661.1780472681858,3624.9118595802056,0.0,25738.46165190256,6.0,15.0,6.0,2800,514.7692330380512,0.18384615465644685
80_24-24,80,24,24,506916.87162476167,1493.4582655005215,2686.002749343243,3521.6018361323213,0.0,21121.536317698403,10.0,13.0,11.0,3200,506.91687162476165,0.158411522382738
80_28-28,80,28,28,496406.65104216436,1581.3483468118648,2647.187126654171,3482.5619294773414,0.0,17728.808965791584,14.0,12.0,16.0,3600,496.40665104216436,0.1378907364006012
80_32-32,80,32,32,483077.0038107686,1673.7826316821156,2675.691555658341,3582.300434469871,0.0002966478789676654,15096.156369086519,20.0,14.0,22.0,4000,483.0770038107686,0.12076925095269214
90_16-16,90,16,16,519784.5127735986,1653.6765331911738,2915.465023112847,3966.540701292288,0.0,32486.532048349913,4.0,18.0,4.0,2500,519.7845127735986,0.20791380510943946
90_20-20,90,20,20,510110.16071119206,1745.353899872498,2948.816124935911,3913.7327514809667,0.0,25505.508035559604,7.0,16.0,7.0,2900,510.11016071119207,0.17590005541765244
90_24-24,90,24,24,500518.3778271917,1757.6053642478655,2983.3763445236405,4008.3087029204744,0.0,20854.93240946632,12.0,20.0,13.0,3300,500.5183778271917,0.1516722357052096
90_28-28,90,28,28,495092.90123526636,1826.534078192708,2981.1463057842047,3980.0224552059435,0.0,17681.88932983094,15.0,19.0,17.0,3700,495.09290123526637,0.13380889222574766
90_32-32,90,32,32,483423.7154338856,1845.3950750645163,2995.3339999217865,3933.618114395722,0.0014313830738951511,15106.991107308924,18.0,17.0,21.0,4100,483.4237154338856,0.11790822327655746
