clients,nodes,shards,repetition,config,throughput_mean,throughput_min,throughput_max,latency_p50,latency_p90,latency_p99,latency_mean,error_rate,cpu_avg,cpu_peak,cpu_p95,load_avg_1m,process_cpu_avg,total_queue,total_active,total_rejected,max_queue,max_rejected,write_queue,search_queue,cluster_key,cluster_name,instance_type,page_size,workload
60,16,16,1,60_16-16,456201.71573614964,446780.94524907955,460944.08248963533,1194.577408999976,2251.0236360009003,3021.1780522794297,1258.4128115568733,0.0,50.8,54,54.0,74.44800000000001,3.5125,0,455,0,0,0,0,0,c4-144_4k_nyc_taxis,c4-144 4k - nyc_taxis,c4-144,4k,nyc_taxis
60,16,16,2,60_16-16,504117.55133386544,490415.2070362069,517793.05087864003,1322.6227539998945,1973.7221593994036,2399.9084650591594,1283.4969225882692,0.0,48.5,51,51.0,72.81,2.875,0,374,0,0,0,0,0,c4-144_4k_nyc_taxis,c4-144 4k - nyc_taxis,c4-144,4k,nyc_taxis
60,16,16,3,60_16-16,478530.88303590653,472282.83297198464,483354.7450765474,1177.995619000285,1819.1348038995784,2623.430780978798,1185.9569299703721,0.0,49.2,53,53.0,74.202,3.2125,0,453,0,0,0,0,0,c4-144_4k_nyc_taxis,c4-144 4k - nyc_taxis,c4-144,4k,nyc_taxis
60,16,16,4,60_16-16,483479.01697363035,477728.05726919096,486800.43863096746,1135.112129000845,1906.3007790002305,2635.8475543190443,1184.966237935488,0.0,45.25,48,48.0,68.61,3.0625,0,407,0,0,0,0,0,c4-144_4k_nyc_taxis,c4-144 4k - nyc_taxis,c4-144,4k,nyc_taxis
60,16,16,1,60_16-16,569347.7955340082,567340.4777173958,573308.7396047238,917.5263920005818,1710.7623830998818,2211.1124626502165,1015.8877803380465,0.0,90.5,91,91.0,271.8075,5.71875,18,837,0,2,0,18,0,c4a-64_64k_nyc_taxis,c4a-64 64k - nyc_taxis,c4a-64,64k,nyc_taxis
60,16,16,2,60_16-16,590181.7666862498,585874.4420647077,592900.1358660618,851.3514500000383,1587.0080930003496,2253.808451359574,959.5867721698716,0.0,90.3125,91,91.0,306.5733333333333,5.791666666666667,73,1198,0,20,0,73,0,c4a-64_64k_nyc_taxis,c4a-64 64k - nyc_taxis,c4a-64,64k,nyc_taxis
60,16,16,3,60_16-16,589969.7684760849,582075.7154718168,592519.9054451803,880.9372794999035,1603.896842699851,2062.7596730703494,967.9226667911853,0.0,90.0,91,91.0,363.1875,5.791666666666667,129,1641,0,23,0,129,0,c4a-64_64k_nyc_taxis,c4a-64 64k - nyc_taxis,c4a-64,64k,nyc_taxis
60,16,16,4,60_16-16,595534.847682412,588111.3432145912,597517.959590942,869.5806819996506,1661.2635997997133,2120.5466568403876,974.4173069367414,0.0,90.0,92,92.0,301.0433333333333,5.5,26,877,0,10,0,26,0,c4a-64_64k_nyc_taxis,c4a-64 64k - nyc_taxis,c4a-64,64k,nyc_taxis
60,16,16,1,60_16-16,527350.0445967964,524273.8750441517,529581.7966686321,808.1617759999062,2095.288878899464,3081.636281220409,1064.5395291492598,0.0,87.75,89,89.0,289.9525,4.59375,21,1156,0,2,0,21,0,c4a-64_4k_nyc_taxis,c4a-64 4k - nyc_taxis,c4a-64,4k,nyc_taxis
60,16,16,2,60_16-16,544303.0035966433,535880.0027594827,549215.3621486906,829.2466464999961,2231.0147594994305,3253.266531250347,1095.0955591031131,0.0,85.75,86,86.0,319.66999999999996,5.34375,14,1262,0,3,0,14,0,c4a-64_4k_nyc_taxis,c4a-64 4k - nyc_taxis,c4a-64,4k,nyc_taxis
60,16,16,3,60_16-16,549078.3569808694,541573.3054515884,560025.3392786036,889.0654044998882,2255.1517881001932,3239.287092909854,1144.3534840334723,0.0,86.75,88,88.0,269.725,5.3125,10,948,0,1,0,10,0,c4a-64_4k_nyc_taxis,c4a-64 4k - nyc_taxis,c4a-64,4k,nyc_taxis
60,16,16,4,60_16-16,552318.2530446153,541982.6394520699,560745.5783911893,875.3402540000934,2130.6965302997924,3094.0037175703214,1103.3972241456067,0.0,86.546875,87,87.0,306.1,5.453125,14,977,0,3,0,14,0,c4a-64_4k_nyc_taxis,c4a-64 4k - nyc_taxis,c4a-64,4k,nyc_taxis
60,16,16,1,60_16-16,609553.3716229232,603298.9524238424,611653.6250182876,846.8270929997743,1446.2361514001714,1915.7459138801448,895.8629051581349,0.0,87.33333333333333,88,88.0,279.56,5.145833333333333,81,926,0,9,0,81,0,c4a-72_64k_nyc_taxis,c4a-72 64k - nyc_taxis,c4a-72,64k,nyc_taxis
60,16,16,2,60_16-16,635634.3176864156,632767.8871750907,638072.718165502,820.9272299995973,1418.1265525997333,1980.288411680176,870.393141314928,0.0,87.33333333333333,88,88.0,324.4266666666667,5.020833333333333,84,1160,0,6,0,84,0,c4a-72_64k_nyc_taxis,c4a-72 64k - nyc_taxis,c4a-72,64k,nyc_taxis
60,16,16,3,60_16-16,644383.7541153572,641938.1012261308,647177.0520275169,811.8353380000372,1463.7922869997055,1935.3937894998578,864.2386053717819,0.0,87.66666666666667,89,89.0,355.3625,5.3125,53,1060,0,11,0,53,0,c4a-72_64k_nyc_taxis,c4a-72 64k - nyc_taxis,c4a-72,64k,nyc_taxis
60,16,16,4,60_16-16,642717.3961392647,634426.5811959127,645847.081976947,809.6684139995887,1413.1149458001346,2070.7996029401443,885.1232639204177,0.0,87.66666666666667,89,89.0,311.3566666666666,5.395833333333333,48,1197,0,5,0,48,0,c4a-72_64k_nyc_taxis,c4a-72 64k - nyc_taxis,c4a-72,64k,nyc_taxis
60,16,16,1,60_16-16,548151.449963803,535314.6078990044,553087.3048690514,877.8585259999545,2063.5979481999584,3095.009027719969,1072.4348097754303,0.0,81.75,85,85.0,290.9825,5.625,80,2038,0,25,0,80,0,c4a-72_4k_nyc_taxis,c4a-72 4k - nyc_taxis,c4a-72,4k,nyc_taxis
60,16,16,2,60_16-16,565037.2610946487,554483.5241268001,572359.8749903046,917.201789499984,2056.3210748000643,3032.737537840033,1090.0455625430577,0.0,80.5,81,81.0,332.875,4.265625,46,1555,0,7,0,46,0,c4a-72_4k_nyc_taxis,c4a-72 4k - nyc_taxis,c4a-72,4k,nyc_taxis
60,16,16,3,60_16-16,564659.7943854142,559817.8201038064,572001.0854547169,873.5009060001175,1942.7036716000205,2792.0138138799316,1063.7760392607925,0.0,80.0,82,82.0,305.4325,4.671875,12,1100,0,2,0,12,0,c4a-72_4k_nyc_taxis,c4a-72 4k - nyc_taxis,c4a-72,4k,nyc_taxis
60,16,16,4,60_16-16,566414.1768671862,558348.3463016985,570602.7507214561,874.6450009999762,2037.0273380001213,2605.177736390112,1061.3352334630167,0.0,79.75,81,81.0,328.175,4.46875,39,1159,0,5,0,39,0,c4a-72_4k_nyc_taxis,c4a-72 4k - nyc_taxis,c4a-72,4k,nyc_taxis
60,16,16,1,60_16-16,360936.5911418659,354595.2891172433,365278.3630051056,1465.9541110004284,2695.4650689995105,3570.1010178995625,1629.675359494528,0.0,73.83333333333333,82,82.0,68.94833333333335,4.541666666666667,1,528,0,1,0,1,0,c4-96_4k_nyc_taxis,c4-96 4k - nyc_taxis,c4-96,4k,nyc_taxis
60,16,16,2,60_16-16,369652.7943100484,358552.1228480514,376677.9367653725,1630.9819260004588,2491.0294930004966,3203.175059200112,1650.7203332036192,0.0,74.32291666666667,79,79.0,74.31166666666665,5.041666666666667,2,528,0,1,0,2,0,c4-96_4k_nyc_taxis,c4-96 4k - nyc_taxis,c4-96,4k,nyc_taxis
60,16,16,3,60_16-16,375809.65076748625,363357.4356717737,388807.6701930071,1544.083742499879,2649.1360612999415,3379.0258975995575,1663.4493319925948,0.0,72.5,78,78.0,75.15500000000002,3.8645833333333335,0,462,0,0,0,0,0,c4-96_4k_nyc_taxis,c4-96 4k - nyc_taxis,c4-96,4k,nyc_taxis
60,16,16,4,60_16-16,384374.34858720895,370716.7126515198,397618.08247211814,1456.1124369993195,2730.8869475999018,3441.1864576599874,1640.5516786172682,0.0,72.83333333333333,79,79.0,77.99489583333332,4.177083333333333,0,384,0,0,0,0,0,c4-96_4k_nyc_taxis,c4-96 4k - nyc_taxis,c4-96,4k,nyc_taxis
