config,repetition,throughput_mean,latency_p50,latency_p90,latency_p99,error_rate,cpu_avg,cpu_peak,cpu_p95,load_avg_1m,total_queue,total_rejected,max_queue,write_queue,search_queue,duration
60_20-20,2,511347.8108294109,1084.053174505243,1930.2514371054713,2619.5170101471003,0.0,71.25,88,88.0,367.2950000000001,71,0,33,71,0,3600
60_16-16,1,555575.4107090207,818.4121469967067,1835.4305767978076,2381.9373470777646,0.0,75.33333333333333,91,91.0,356.815,94,0,11,94,0,3600
80_24-24,2,548019.1712816325,1322.7098884817678,2327.267590293196,3237.4487239518203,0.0,74.8125,90,90.0,313.6045138888889,84,0,15,84,0,3600
70_32-32,4,492566.8556994064,1471.1829624866368,2223.8126348966034,2851.587939574389,0.0,72.83333333333333,87,87.0,386.96999999999997,82,0,5,82,0,3600
100_28-28,2,539094.2148809427,1742.5166269531474,2765.9069289802574,3666.6618283838034,0.0,76.16071428571429,92,92.0,369.8750000000001,163,0,46,163,0,3600
70_32-32,3,491860.74404309946,1458.0085329944268,2196.663887996692,2811.893097619758,0.0,72.33333333333333,87,87.0,378.7894791666667,77,0,8,77,0,3600
90_28-28,4,537589.2174339419,1678.8341595092788,2575.985234498512,3242.4926044943268,0.0,73.98809523809524,91,91.0,353.9750000000001,80,0,16,80,0,3600
90_28-28,3,553097.5775214178,1611.2399699923117,2478.692392393714,3266.725554213625,0.0,76.81547619047619,91,91.0,372.6650000000001,145,0,41,145,0,3600
100_16-16,2,553523.0819287355,1832.935741491383,2997.7993211039575,4146.200634264095,0.0,75.83333333333333,91,91.0,366.4883333333333,511,0,137,511,0,3600
100_20-20,1,526073.527425018,1802.0534720126307,2856.0804738983284,3559.1598759865155,0.0,74.66666666666667,93,93.0,309.1166666666667,71,0,21,71,0,3600
60_28-28,1,470373.63882169744,1177.8842759958934,1947.1836299926508,2646.6356672171974,0.0,67.85714285714286,90,90.0,342.49005102040826,93,0,6,93,0,3600
80_32-32,1,498787.38268970966,1462.2651975078043,2377.774226211477,3136.55621684884,0.0,74.0,92,92.0,273.7366666666666,100,0,37,100,0,3600
90_16-16,3,571989.5062502472,1520.575144997565,2345.1422270096373,3407.3896276514197,0.0,68.16666666666667,93,93.0,349.60166666666663,36,0,15,36,0,3600
90_16-16,4,570479.8005178671,1454.5326070219744,2386.435514583718,3311.602777322406,0.0,76.5,92,92.0,368.37000000000006,320,0,85,320,0,3600
90_28-28,2,540956.4686576758,1615.4797790222801,2642.498274013633,3621.837336977478,0.0,74.01190476190476,90,90.0,326.9692857142858,68,0,6,68,0,3600
60_20-20,3,519297.7885093595,1070.8670500025619,1870.8676190144615,2407.99359614175,0.0,72.65833333333333,89,89.0,382.7919166666667,31,0,2,31,0,3600
80_24-24,3,553034.0199140719,1379.6380194980884,2351.6791880945675,2983.9905238998467,0.0,75.16666666666667,90,90.0,327.45124999999996,43,0,6,43,0,3600
60_20-20,4,523693.8841123506,1032.2376800031634,1920.1725012855604,2450.133977946536,0.0,72.70833333333333,87,87.0,339.18333333333334,64,0,8,64,0,3600
80_24-24,4,562219.4444996662,1377.597954007797,2273.916575603653,2986.5382986643817,0.0,76.05555555555556,92,91.85,361.46729166666665,111,0,38,111,0,3600
70_32-32,2,493025.7828005067,1451.3764689909294,2230.245986999944,2837.087942059152,0.0,73.16666666666667,88,88.0,383.3,97,0,7,97,0,3600
100_28-28,3,542393.9857020756,1791.3036239915527,2815.112344780937,4152.341562444334,0.0,75.66666666666667,92,92.0,349.3671428571428,68,0,6,68,0,3600
100_28-28,4,532027.4334045248,1953.8571400335059,2999.8066559783183,3902.257850795286,0.0,74.16666666666667,90,90.0,318.6966666666667,162,0,35,162,0,3600
90_20-20,1,533919.2028941103,1619.580466998741,2544.0671919903257,3477.6357073104023,0.0,75.81666666666666,92,92.0,295.918,238,0,45,238,0,3600
90_16-16,2,559727.0092327752,1611.777369020274,2519.824013026664,3416.7373921955,0.0,77.0,92,92.0,326.5403125,56,0,21,56,0,3600
70_24-24,1,486118.3504973051,1258.2427360030124,2299.1593776067016,3036.627827821648,0.0,72.66666666666667,89,89.0,382.39125,167,0,29,167,0,3600
100_16-16,4,560158.3033648147,1668.0403359932825,2863.5882388072787,3716.6520834495896,0.0,76.66666666666667,91,91.0,336.68666666666667,269,0,64,269,0,3600
100_16-16,3,552332.5239289196,1774.8883375024889,2784.7094071214087,4007.2458501183414,0.0,75.33333333333333,91,91.0,349.7733333333333,104,0,20,104,0,3600
90_32-32,2,534658.6156472994,1535.8217140019406,2500.390664412407,3124.846120743897,0.0,76.0,91,91.0,327.0111979166666,35,0,4,35,0,3600
60_24-24,3,515636.36396752147,1145.1724729849957,1854.1989139921498,2504.66147219704,0.0,72.61805555555556,87,87.0,471.4827083333334,9,0,3,9,0,3600
80_20-20,3,562521.8988937099,1400.6215529807378,2207.9856170050334,2980.4562293994213,0.0,76.83333333333333,92,92.0,320.2041666666667,51,0,21,51,0,3600
60_24-24,4,510829.9858975114,1112.3509660246782,1793.0584607995115,2253.694188378286,0.0,72.0,86,86.0,388.6383333333333,58,0,12,58,0,3600
80_20-20,4,563248.1821067198,1443.8794694870012,2410.735527187353,3559.7685474753957,0.0,75.5,92,92.0,319.51500000000016,176,0,41,176,0,3600
100_32-32,3,541506.5364128262,1806.4474340062588,2748.7725539831445,3452.0977478008704,0.0191763596353348,77.16666666666667,92,92.0,376.82166666666666,63,0,3,63,0,3600
70_28-28,2,516235.98567839165,1353.4566419984912,2152.322820702102,2789.601795790658,0.0,74.0,89,89.0,372.96000000000004,43,0,7,43,0,3600
100_32-32,4,521996.0910308542,1959.66023002984,3066.0628096200526,4128.283468475566,0.030408340573414423,74.171875,90,90.0,336.895,30,0,8,30,0,3600
70_16-16,2,552929.0779359825,1120.3260865004268,1886.5003354963847,2427.941057065326,0.0,76.83333333333333,92,92.0,458.9691666666666,97,0,14,97,0,3600
90_24-24,1,516541.6480629779,1542.8860209940467,2703.7291094078687,3671.440560006303,0.0,74.5,92,92.0,311.8066666666667,80,0,24,80,0,3600
70_20-20,1,519323.84096252674,1178.3153770084027,1964.323098002933,2684.0332334348927,0.0,76.16666666666667,92,92.0,350.81499999999994,189,0,43,189,0,3600
70_28-28,4,503897.4628544856,1313.2996629865374,2153.7008343962952,2881.984093829525,0.0,72.35714285714286,88,88.0,379.6166666666667,212,0,28,212,0,3600
70_28-28,3,501429.03110529354,1351.4176820026478,2304.102782404516,3048.8845188933187,0.0,71.83333333333333,87,87.0,365.12547619047615,38,0,9,38,0,3600
100_32-32,2,546818.7808693949,1652.0675879728515,2789.6530048863497,3949.7393686143887,0.02765273311897106,78.83333333333333,92,92.0,346.3283333333333,43,0,3,43,0,3600
90_32-32,4,545577.3149991694,1582.306520504062,2461.4033773192205,3080.799015185912,0.0,77.66666666666667,92,92.0,334.875,105,0,13,105,0,3600
90_32-32,3,545425.9084038136,1583.8605830067536,2553.525903815171,3323.2097393667177,0.0,77.5,92,92.0,323.4766666666667,25,0,3,25,0,3600
80_16-16,1,575766.8338914312,1009.5206344994949,2187.6839794917037,3255.3692690355833,0.0,67.16666666666667,95,95.0,249.10999999999999,7,0,2,7,0,3600
60_24-24,2,506564.25419063715,1105.251180502819,1984.2878543044208,2601.044405639406,0.0,71.83333333333333,88,88.0,419.85999999999996,5,0,1,5,0,3600
80_20-20,2,556427.3520404589,1313.6848709982587,2164.6018249099147,3103.7348260288127,0.0,76.175,91,91.0,338.7099999999999,67,0,20,67,0,3600
70_16-16,3,537350.9738763686,1182.3569069965743,2223.100827104645,2935.4595365203545,0.0,74.48958333333333,92,92.0,359.7266666666667,57,0,21,57,0,3600
70_16-16,4,540350.8269874435,1210.805418988457,2086.7225925961975,2548.4946124325506,0.0,74.55208333333333,91,91.0,403.955,169,0,22,169,0,3600
60_32-32,1,466091.15496394335,1221.4907850138843,1929.188275791239,2450.0304563052478,0.0,73.72767857142857,91,90.0,326.38571428571424,140,0,20,140,0,3600
80_28-28,1,508722.5359657114,1445.5733060021885,2246.2679014191963,2982.2965222096536,0.0,74.17261904761905,92,92.0,272.4329166666667,116,0,7,116,0,3600
100_24-24,1,516026.7472744003,1878.5452969896141,2839.7898146067746,3723.5222965321746,0.0,74.16666666666667,92,92.0,291.2266666666667,53,0,7,53,0,3600
70_28-28,1,461534.40473032335,1396.8845909985248,2183.788374689175,2718.2867213495774,0.0,72.29081632653062,92,92.0,324.3195918367347,18,0,13,18,0,3600
80_16-16,3,601182.367730514,1012.7945215062937,1976.5767126780702,2922.6155468702204,0.0,75.8,94,94.0,327.848,94,0,19,94,0,3600
80_16-16,4,592768.6333735705,1010.3944299917202,2140.6719679944217,3053.607307589847,0.0,74.8,92,92.0,346.318,81,0,12,81,0,3600
90_32-32,1,488345.475069525,1763.262010004837,2671.1313272011475,3495.2744034217917,0.0006540222367560497,74.0,92,92.0,303.75,47,0,18,47,0,3600
60_32-32,4,494844.1305888619,1276.8289535015356,1923.3837275096448,2613.2059288531304,0.0,72.5,87,87.0,362.22151041666666,86,0,14,86,0,3600
60_32-32,3,513967.44258487155,1081.413417996373,1726.7283267923635,2218.105705319904,0.0,75.33333333333333,90,90.0,372.73999999999995,218,0,11,218,0,3600
70_16-16,1,530599.5049062055,1148.0333110084757,1835.3594606945992,2451.2685942157987,0.0,76.16666666666667,93,93.0,326.605,93,0,11,92,0,3600
90_24-24,2,542292.8406050886,1617.1674669894855,2685.5961674998985,3515.420635731713,0.0,75.0625,90,90.0,346.08194444444445,64,0,11,64,0,3600
70_20-20,2,547821.3438387136,1162.0820259995526,1931.457184403553,2488.3119963595527,0.0,76.175,92,92.0,470.55166666666656,31,0,7,31,0,3600
100_24-24,4,546426.7794094504,1848.5895904887002,2855.664329504362,4015.390153937626,0.0,74.67361111111111,91,91.0,328.52263888888893,292,0,73,292,0,3600
100_24-24,3,541299.3841464976,1793.5719009838067,2789.3763494794257,3713.4529802278835,0.0,74.83333333333333,90,90.0,349.30999999999995,88,0,28,88,0,3600
80_28-28,4,539374.3865355304,1460.9898494964,2251.533772997209,2817.314647999883,0.0,74.16071428571429,89,89.0,293.485,47,0,19,47,0,3600
80_28-28,3,549840.4006792603,1376.6676230006851,2281.6333371098153,2940.895092610154,0.0,76.33333333333333,91,91.0,337.2616666666666,60,0,9,60,0,3600
80_16-16,2,603498.0648674273,991.8110309808981,2015.793564991327,2825.5566079053096,0.0,75.4,94,94.0,324.7799999999999,98,0,19,98,0,3600
60_24-24,1,485602.9428581244,1137.826345016947,1858.2011813996357,2409.0389394538943,0.0,72.16666666666667,90,90.0,293.0982638888888,64,0,8,64,0,3600
80_20-20,1,528754.2187681004,1434.8584004910663,2292.495121617685,2839.0172468661326,0.0,74.66666666666667,92,92.0,274.8237500000001,69,0,8,69,0,3600
100_32-32,1,488541.2170625934,1907.434398017358,2874.160325608683,3927.190182218318,0.025417745351847494,74.16666666666667,91,91.0,306.3333333333333,49,0,3,49,0,3600
100_24-24,2,542382.3199044886,1885.203684490989,2857.810352600063,3692.52326849557,0.0,75.0,90,90.0,340.4583333333333,167,0,24,167,0,3600
80_28-28,2,543021.4183438444,1451.714416994946,2277.393295010552,2878.8180481159357,0.0,75.16666666666667,89,89.0,322.9028571428572,57,0,6,57,0,3600
60_32-32,2,498737.72326783516,1170.5826965044253,1796.690041013062,2420.760509602842,0.0,74.48958333333333,88,88.0,402.85697916666663,228,0,88,228,0,3600
90_24-24,3,545881.6134796098,1655.6842860009056,2464.3171912030084,3193.556490363262,0.0,74.83333333333333,90,90.0,345.76666666666665,177,0,64,177,0,3600
70_20-20,3,540853.1808545679,1126.0429819958517,1808.2945115835175,2401.418032418588,0.0,75.78333333333333,92,92.0,398.4316666666667,181,0,48,181,0,3600
90_24-24,4,551693.1873872827,1522.6961659936933,2540.0810000894126,3272.848799302881,0.0,75.5,90,90.0,349.33006944444446,152,0,29,152,0,3600
70_20-20,4,547528.5526241702,1136.994558997685,1875.8681320032338,2472.1116476037423,0.0,76.5,91,91.0,454.80558333333335,220,0,48,220,0,3600
100_28-28,1,516979.0197144785,1815.543950011488,2771.080768224784,3847.0790941035393,0.0,76.0,93,93.0,318.02702380952377,69,0,17,69,0,3600
60_20-20,1,503454.29075504624,1092.9744780005421,1867.7041489863768,2380.698619244504,0.0,73.16666666666667,90,90.0,312.4724166666667,235,0,16,235,0,3600
60_16-16,2,572682.8216050395,765.9486620104872,1865.446970195626,2398.8561617987584,0.0,67.16666666666667,90,90.0,410.2466666666666,130,0,13,130,0,3600
80_24-24,1,527839.0320680505,1377.0793809962925,2292.263902386185,2975.761321706228,0.0,75.16666666666667,92,92.0,271.79333333333335,106,0,36,106,0,3600
90_20-20,3,549130.9739781303,1624.2865860112943,2531.9655436032917,3256.5164449036824,0.0,75.0,91,91.0,369.81833333333327,26,0,3,26,0,3600
70_24-24,3,507638.45975562127,1355.1302580162883,2197.76272449526,2852.5460364433825,0.0,72.16666666666667,87,87.0,405.9166666666667,162,0,39,162,0,3600
90_20-20,4,555323.3695150443,1632.700230984483,2495.3635366109665,3113.6090024502487,0.0,75.16666666666667,90,90.0,362.3883333333333,264,0,112,264,0,3600
70_24-24,4,514661.2495385184,1300.6363379827235,2268.587633402785,2865.2319595147846,0.0,73.16666666666667,86,86.0,407.37,549,0,82,549,0,3600
80_32-32,2,525776.786274143,1514.4583759829402,2274.189257994294,3214.2327592847873,0.0,74.33333333333333,89,89.0,317.89770833333336,32,0,9,32,0,3600
60_28-28,2,499460.616017582,1153.1993825046811,1947.3445044859545,2541.1720689575295,0.0,70.0,84,84.0,373.11,151,0,6,151,0,3600
100_16-16,1,538920.1235082338,1702.345769997919,2747.6267850026493,3542.4369007954374,0.0,75.66666666666667,92,92.0,295.15770833333335,176,0,79,176,0,3600
100_20-20,2,546490.7429680596,1834.6065584919415,2957.1078948996733,3898.2327094874922,0.0,74.33333333333333,90,90.0,327.6050000000001,482,0,105,482,0,3600
70_32-32,1,462089.6255829778,1414.7557119867997,2278.5505395237124,3001.5129661274846,0.0,73.55803571428571,90,90.0,319.36388392857145,147,0,8,147,0,3600
